kind,time,cnt,kind_num
flavor9,2016-01-08,5,9
flavor9,2016-01-12,1,9
flavor9,2016-01-13,1,9
flavor9,2016-01-14,1,9
flavor9,2016-01-15,4,9
flavor9,2016-01-17,2,9
flavor9,2016-01-18,3,9
flavor9,2016-01-19,1,9
flavor9,2016-01-20,3,9
flavor9,2016-01-21,1,9
flavor9,2016-01-22,3,9
flavor9,2016-01-24,1,9
flavor10,2015-12-03,1,10
flavor10,2015-12-04,1,10
flavor10,2015-12-07,1,10
flavor10,2015-12-08,11,10
flavor10,2015-12-09,1,10
flavor10,2015-12-10,1,10
flavor10,2015-12-16,1,10
flavor10,2015-12-17,1,10
flavor10,2015-12-25,1,10
flavor10,2016-01-05,1,10
flavor10,2016-01-06,1,10
flavor10,2016-01-07,2,10
flavor10,2016-01-13,1,10
flavor11,2015-12-02,11,11
flavor11,2015-12-04,1,11
flavor11,2015-12-07,1,11
flavor11,2015-12-08,2,11
flavor11,2015-12-09,1,11
flavor11,2015-12-10,1,11
flavor11,2015-12-11,6,11
flavor11,2015-12-16,5,11
flavor11,2015-12-17,3,11
flavor11,2015-12-20,1,11
flavor11,2015-12-21,2,11
flavor11,2015-12-22,7,11
flavor11,2015-12-23,1,11
flavor11,2015-12-24,1,11
flavor11,2015-12-28,1,11
flavor11,2015-12-29,4,11
flavor11,2016-01-04,2,11
flavor11,2016-01-05,10,11
flavor11,2016-01-06,9,11
flavor11,2016-01-07,9,11
flavor11,2016-01-10,2,11
flavor11,2016-01-12,5,11
flavor11,2016-01-13,3,11
flavor11,2016-01-15,1,11
flavor11,2016-01-16,1,11
flavor11,2016-01-17,3,11
flavor11,2016-01-20,3,11
flavor11,2016-01-22,8,11
flavor11,2016-01-24,2,11
flavor12,2015-12-03,2,12
flavor12,2015-12-06,1,12
flavor12,2015-12-07,4,12
flavor12,2015-12-10,11,12
flavor12,2015-12-14,3,12
flavor12,2015-12-17,2,12
flavor12,2015-12-18,2,12
flavor12,2015-12-19,1,12
flavor12,2015-12-20,5,12
flavor12,2015-12-21,6,12
flavor12,2015-12-23,10,12
flavor12,2015-12-25,16,12
flavor12,2015-12-26,3,12
flavor12,2015-12-28,27,12
flavor12,2015-12-29,2,12
flavor12,2015-12-31,4,12
flavor12,2016-01-01,1,12
flavor12,2016-01-06,1,12
flavor12,2016-01-07,1,12
flavor12,2016-01-13,11,12
flavor12,2016-01-15,2,12
flavor12,2016-01-16,2,12
flavor12,2016-01-18,3,12
flavor12,2016-01-19,1,12
flavor12,2016-01-22,7,12
flavor13,2015-12-02,1,13
flavor13,2015-12-03,5,13
flavor13,2015-12-16,1,13
flavor13,2015-12-25,1,13
flavor13,2016-01-06,1,13
flavor13,2016-01-15,1,13
flavor13,2016-01-19,10,13
flavor14,2015-12-06,4,14
flavor14,2015-12-07,1,14
flavor14,2015-12-08,3,14
flavor14,2015-12-09,2,14
flavor14,2015-12-10,1,14
flavor14,2015-12-15,2,14
flavor14,2015-12-18,1,14
flavor14,2015-12-23,1,14
flavor14,2015-12-24,1,14
flavor14,2015-12-25,1,14
flavor14,2015-12-27,1,14
flavor14,2015-12-28,1,14
flavor14,2015-12-30,5,14
flavor14,2016-01-04,3,14
flavor14,2016-01-05,1,14
flavor14,2016-01-06,2,14
flavor14,2016-01-11,5,14
flavor14,2016-01-15,2,14
flavor14,2016-01-24,1,14
flavor15,2015-12-10,3,15
flavor15,2015-12-11,4,15
flavor15,2015-12-14,15,15
flavor15,2015-12-16,5,15
flavor15,2015-12-21,5,15
flavor15,2015-12-28,6,15
flavor15,2016-01-07,1,15
flavor15,2016-01-16,1,15
flavor15,2016-01-19,1,15
flavor16,2015-12-07,6,16
flavor16,2015-12-14,1,16
flavor16,2015-12-24,1,16
flavor16,2015-12-25,8,16
flavor16,2016-01-14,1,16
flavor16,2016-01-15,13,16
flavor17,2015-12-11,2,17
flavor17,2015-12-13,1,17
flavor17,2015-12-15,1,17
flavor17,2015-12-24,2,17
flavor17,2015-12-25,4,17
flavor17,2016-01-04,1,17
flavor17,2016-01-05,5,17
flavor17,2016-01-11,2,17
flavor17,2016-01-14,2,17
flavor17,2016-01-15,3,17
flavor18,2015-12-08,5,18
flavor18,2015-12-14,1,18
flavor18,2015-12-15,5,18
flavor18,2015-12-16,3,18
flavor19,2015-12-30,1,19
flavor20,2015-12-14,1,20
flavor20,2015-12-25,1,20
flavor20,2016-01-16,1,20
flavor21,2015-12-07,3,21
flavor21,2015-12-08,3,21
flavor21,2015-12-10,8,21
flavor21,2015-12-20,1,21
flavor21,2015-12-29,1,21
flavor21,2015-12-30,1,21
flavor21,2016-01-08,2,21
flavor21,2016-01-12,1,21
flavor21,2016-01-20,3,21
flavor22,2015-12-07,1,22
flavor22,2015-12-08,2,22
flavor22,2015-12-09,10,22
flavor22,2015-12-10,1,22
flavor22,2015-12-16,10,22
flavor22,2015-12-17,3,22
flavor22,2015-12-18,10,22
flavor22,2015-12-21,4,22
flavor22,2015-12-22,11,22
flavor22,2015-12-25,14,22
flavor22,2015-12-27,4,22
flavor22,2015-12-29,1,22
flavor22,2016-01-01,1,22
flavor22,2016-01-03,1,22
flavor22,2016-01-07,2,22
flavor22,2016-01-08,4,22
flavor22,2016-01-15,6,22
flavor22,2016-01-16,1,22
flavor22,2016-01-17,1,22
flavor23,2015-12-18,2,23
flavor23,2016-01-08,2,23
flavor23,2016-01-11,1,23
